,Article 1,Article 2,Article 3,Article 4,Article 5,Article 6,Article 7,Article 8,Article 9,Article 10
Article 1,1.0,0.0227,0.0667,0.0439,0.0342,0.0082,0.0061,0.0032,0.0228,0.0
Article 2,0.0227,1.0,0.081,0.0214,0.077,0.0393,0.0158,0.0795,0.0457,0.0042
Article 3,0.0667,0.081,1.0,0.0414,0.0876,0.0501,0.0305,0.1154,0.0191,0.0192
Article 4,0.0439,0.0214,0.0414,1.0,0.0452,0.0313,0.0198,0.0534,0.0187,0.0021
Article 5,0.0342,0.077,0.0876,0.0452,1.0,0.0153,0.0147,0.0594,0.0429,0.0051
Article 6,0.0082,0.0393,0.0501,0.0313,0.0153,1.0,0.0275,0.0484,0.0116,0.0013
Article 7,0.0061,0.0158,0.0305,0.0198,0.0147,0.0275,1.0,0.0172,0.0071,0.0225
Article 8,0.0032,0.0795,0.1154,0.0534,0.0594,0.0484,0.0172,1.0,0.0212,0.005
Article 9,0.0228,0.0457,0.0191,0.0187,0.0429,0.0116,0.0071,0.0212,1.0,0.0061
Article 10,0.0,0.0042,0.0192,0.0021,0.0051,0.0013,0.0225,0.005,0.0061,1.0
